aabasu	nombre de hombre
aadi	bueno
aadi	sí
aaga	esconderse
aaga	guarecerse
aaga	ocultarse
aakenta	estar acompañado
conser	cera
aani	bueno
aani	si
asenti	afirmación
asenti	miento
aantitl	juan garrote
aantitl	san pedro
aara'	loro
arachorida'	loro
arachu'	papelito
aradz'	gordo
kwee	gusano
kwee	veranito
evidencial	con un aawwag posesivo
uca	cambiarla
uca	sac convertir
apa	abrubr riencia
apa	riencia
cior	cambiarla
cior	convertir
aau	abruge antofí
desgra	maíz
pue	ciudades
pue	dtr blos
pue	monteador
pue	y ciudades
laje	gusano
tradi	ales
tradi	arhuacos
tradi	cionales
tradi	ionales
caracte	c hoo
caracte	cas de un objeto
caracte	ekkeda
caracte	guiar
caracte	kolla
caracte	nulekwa gota btrs ncaminar
giij	wiyettala
partir	marcharse
ajgar	andar
ajgar	pasársela
deno	aj
deno	akkwa vit rar
deno	anda diciendo mentiras
deno	anda hablando
deno	ar carencia
deno	aún llegado
deno	discutir
deno	estar quemado rs r
deno	incinerar
deno	maíz verde
deno	no
deno	patio del padre yaau
deno	prender fuego nt rarse
deno	reñir
deno	se la pasa robando
deno	suele vrb robar
deno	waachate
deno	werituukate
ajga	echar
ajgata	atajar
ajgata	rebuscar
ajmikr	rebuscar
mar	appal cha hoy
mar	pialis
mar	se de un lugar
jus	loorensu
jus	uuya
looren	ra
looren	uuyamakra
looren	vg sukra
akkati	vrb
ajniko	and sigilo
ajniko	cautela
ajniko	disimulo
ajniko	nos besamos
akketi'	trs vrb
akkeya	al
akkeya	recíprocamente
akkeya	vrbt inversamente
rrenc	presrode tar
akkini'	no pron
akkwa	andar
akkwa	pasársela
aprovecha	equi dos
uste	intg la se tú
uste	sur
amatagkre	pron
que	adverbio relativo de modo
que	mos acá
que	nu se pospone a
que	pavo
que	pisco
que	por acá
for	r preguntas directas que
deman	esfuerzo
deman	una respuesta categórica
coordinarse	con un morfema de
amma	noa pron fri tú
amma	usted
sul	se ustedes
ammata	pron
debe	ellos ya nel llegaron
ammayu	tú
ammayu	usted
jun	loorensu
jun	na
jun	tos
jun	uuyama
semi	secas
uti	idas como zemilla
uti	lizado en la siembra
amta	pr pron
yuggayane	dem wukkri
yuggayane	ellos se marchan hoy
appet	dea devolver
appet	navidad
distin	diferenciarse
distin	guirse
indí	migkre wi tuwi chee
indí	nosotros om
indí	sorghu nas
taca	nív
pre	camin él
pre	culo
pre	flexibles parda
pre	joowagante samana bej moye
pre	la salida del sol
pre	llantén
pre	lojkartod lisaso
pre	montaña vieja
pre	mowita n tendiente amoroso
pre	nón a saawiri
pre	por eso huelo bien
pre	rs querer
pre	ya me ooyokra bañé
awat	aturdidamente
awat	pasmadamente
provisio	para una empresa
assawara'	especie de gusano
assawara'	nón
assawara'	susano del maíz
los	baile
los	barbulito fa blanco
los	bonguita ceiba pentandra
los	bres cuyos
los	bres de árboles
los	bres para denotar la
los	bres para denotar mpañía
los	buuruganta
los	buññukwi
los	carretico aspidosperma polyneuron
los	conju pokkre
los	cucaracha
los	dedos del pie
los	delgada
los	ef
los	guayacancito bulnesia arborea
los	ikkadikra
