aadi	bueno
aadi	sí
aaga	esconderse
aaga	guarecerse
aaga	ocultarse
aagawi	monteador
aajgawi	retirar seres malignos mediante
aakenta	estar acompañado
aani	bueno
aani	si
aantitl	juan garrote
aantitl	san pedro
aara	ari
aara	bofe
aara	buurukakkratari
aara	carito
aara	cintur kassakwa
aara	cé
aara	diitake anat wakkani
aara	diitake kwcerini
aara	koggo wakkani
aara	yerna
aau	abruge antofí
abajo	abajo
abeja	africana
abr	abr moowe
abr	moo
abru	aaugenta
abru	zoc genta
acné	emel anat ditadan duura
aconsejar	amonestar
acostumb	cor luz tunguwaa
acu	paa minata
acuá	aguja
acuá	yuca
ades	debemos ar bien
ades	equív jaike
ades	hay que
ades	jaikemagkre bejtaara
ades	jaine
ades	jaite aux hay que
adesivo	wa
adesivo	ña
adje	agradable
adje	supuestamente bueno
ador	leche materna
adver	nadic
adver	ni bikki
aex	ensiones espaciales braateyeemekenta
afcitars	prést
agra	ble apariencia
agu	vrb
ahora	ale jaaya
ahu	pli gow yu
ahu	wigkilu
ahu	wigpila
ahu	wigtila
aire	ef
ajga	echar
ajgar	andar
ajgar	pasársela
ajgata	atajar
ajgata	rebuscar
ajmikr	rebuscar
ajniko	and sigilo
ajniko	cautela
ajniko	disimulo
ajniko	nos besamos
akkati	vrb
akkeya	al
akkeya	recíprocamente
akkeya	vrbt inversamente
akkwa	andar
akkwa	pasársela
ala	soowanisa
ala	época dediiyowanisa
ale	arroyo profundo
ale	cé
ale	pet
alg	waugowi
algo	dibujar
algo	diseñar
algo	escribir
ali	mentos
ali	mentos cocidos
ali	que
alimento	sugganiri
alinterlo	bien
alinterlo	tte im otro
alir	adj esparcir tabaco escupiéndolo
allí	eter
almace	esparcir achiote
altas	sentir calor
amatagkre	pron
ambiente	saanituuriwaa
ame	icana
amma	usted
ammarati	na kakkeyurade
ammata	pron
ammayu	usted
ammi	loorensukra
ammi	ra
ammi	ral que kra
ammni	juuyamakra
ammni	luggalina kra
ammni	uuyamalkra
amta	pr pron
anat	cuba
anfi	bocachico
anfi	colectar pescado
anfi	ennaka jiompli bocachico
anfi	pescado
anfi	waakayeri
anfibio	rhinella marina
angus	desasosiego
angus	lwos tia
angustia	año waabrariya
ani	alargándose
ani	ales
ani	andar
ani	brakk males
ani	caldero males
ani	cosas
ani	descuerar
ani	desgra mel kwakwagoti
ani	ensortijado
ani	flexible pigawxa
ani	largo
ani	les
ani	les grandes
ani	males
ani	objetos lejanos
ani	objetos macizos jassakati
ani	objetos macizos jassakatimata
ani	plantas
ani	tua males
anima	ahogarse
anima	grandes
anima	les domésticos
anima	objetos macizos kwannakri
anima	objetos yaametuu
anima	plantas
anima	tikri
animal	sunari
animales	quiv
antig	casa completamente cerrada
antiguos	ette chorida
antiguos	ibrinanta
antiguos	tiibrimanta
anudan	armadillo
apa	abrubr riencia
apa	riencia
apagar	extinguir
apagar	tabacos
apagar	tizones
apariencia	bejnooniwaa
ape	mana
apo	kr yado
apo	yado
appet	dea devolver
appet	navidad
apro	junio
apro	mapa ximadamente entre mayo
apro	pisingo
aprovecha	equi dos
aproxima	enero
